timestamp,pod,status,memory_current_mi,memory_events_high,memory_events_oom_kill
2026-06-07T23:13:04-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:04-04:00,aggressor,Running,4272,0,0
2026-06-07T23:13:07-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:07-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:07-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:07-04:00,aggressor,Running,4473,0,0
2026-06-07T23:13:09-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:09-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:09-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:09-04:00,aggressor,Running,4717,0,0
2026-06-07T23:13:11-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:11-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:11-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:11-04:00,aggressor,Running,4925,0,0
2026-06-07T23:13:13-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:13-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:13-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:13-04:00,aggressor,Running,5126,0,0
2026-06-07T23:13:16-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:16-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:16-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:16-04:00,aggressor,Running,5326,0,0
2026-06-07T23:13:18-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:18-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:18-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:18-04:00,aggressor,Running,5527,0,0
2026-06-07T23:13:20-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:20-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:20-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:20-04:00,aggressor,Running,5728,0,0
2026-06-07T23:13:23-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:23-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:23-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:23-04:00,aggressor,Running,5979,0,0
2026-06-07T23:13:25-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:25-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:25-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:25-04:00,aggressor,Running,6180,0,0
2026-06-07T23:13:27-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:27-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:27-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:27-04:00,aggressor,Running,6381,0,0
2026-06-07T23:13:29-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:29-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:29-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:29-04:00,aggressor,Running,6582,0,0
2026-06-07T23:13:32-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:32-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:32-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:32-04:00,aggressor,Running,6783,0,0
2026-06-07T23:13:34-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:34-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:34-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:34-04:00,aggressor,Running,6984,0,0
2026-06-07T23:13:36-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:36-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:36-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:36-04:00,aggressor,Running,7235,0,0
2026-06-07T23:13:38-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:38-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:38-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:38-04:00,aggressor,Running,7436,0,0
2026-06-07T23:13:41-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:41-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:41-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:41-04:00,aggressor,Running,7636,0,0
2026-06-07T23:13:43-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:43-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:43-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:43-04:00,aggressor,Running,7837,0,0
2026-06-07T23:13:45-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:45-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:45-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:45-04:00,aggressor,Running,8038,0,0
2026-06-07T23:13:48-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:48-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:48-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:48-04:00,aggressor,Running,8239,0,0
2026-06-07T23:13:50-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:50-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:50-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:50-04:00,aggressor,Running,8490,0,0
2026-06-07T23:13:52-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:52-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:52-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:52-04:00,aggressor,Running,8691,0,0
2026-06-07T23:13:54-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:54-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:54-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:54-04:00,aggressor,Running,8892,0,0
2026-06-07T23:13:57-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:57-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:57-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:57-04:00,aggressor,Running,9093,0,0
2026-06-07T23:13:59-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:13:59-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:13:59-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:13:59-04:00,aggressor,Running,9294,0,0
2026-06-07T23:14:01-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:01-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:01-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:01-04:00,aggressor,Running,9494,0,0
2026-06-07T23:14:03-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:03-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:03-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:03-04:00,aggressor,Running,9732,0,0
2026-06-07T23:14:06-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:06-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:06-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:06-04:00,aggressor,Running,9946,0,0
2026-06-07T23:14:08-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:08-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:08-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:08-04:00,aggressor,Running,10147,0,0
2026-06-07T23:14:10-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:10-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:10-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:10-04:00,aggressor,Running,10348,0,0
2026-06-07T23:14:12-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:12-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:12-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:12-04:00,aggressor,Running,10549,0,0
2026-06-07T23:14:15-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:15-04:00,burstable-holder,Running,104,0,0
