=== Guaranteed Pod Page I/O Test - Baseline (No MemoryQoS) ===
Date: 2026-06-11T20:29:00Z
Duration: 60s (data collection), pod ran >3 minutes total

Pod: guaranteed-pageio-no-memqos (Guaranteed, 512Mi/512Mi)
Workload: 300Mi anonymous memory + 500Mi page cache per iteration (10 x 50Mi files)
Kubelet: MemoryQoS=false
Kernel: 7.0.11-200.fc44.x86_64

=== Cgroup Settings ===
memory.min: 0
memory.max: 536870912 (512 MiB)
memory.high: max

=== Data Collection ===
timestamp,memory_current_mib,memory_min,memory_max,memory_high,anon_mib,file_mib,oom,oom_kill,high_ev,low_ev
2026-06-11T16:33:08-04:00,468,0,536870912,max,365,100,0,0,0,0
2026-06-11T16:33:10-04:00,511,0,536870912,max,408,100,0,0,0,0
2026-06-11T16:33:12-04:00,472,0,536870912,max,373,100,0,0,0,0
2026-06-11T16:33:14-04:00,461,0,536870912,max,358,100,0,0,0,0
2026-06-11T16:33:16-04:00,480,0,536870912,max,399,100,0,0,0,0
2026-06-11T16:33:19-04:00,496,0,536870912,max,408,100,0,0,0,0
2026-06-11T16:33:21-04:00,461,0,536870912,max,358,100,0,0,0,0
2026-06-11T16:33:23-04:00,491,0,536870912,max,388,100,0,0,0,0
2026-06-11T16:33:25-04:00,461,0,536870912,max,358,100,0,0,0,0
2026-06-11T16:33:27-04:00,511,0,536870912,max,408,100,0,0,0,0
2026-06-11T16:33:29-04:00,461,0,536870912,max,358,100,0,0,0,0
2026-06-11T16:33:31-04:00,502,0,536870912,max,364,100,0,0,0,0
2026-06-11T16:33:33-04:00,511,0,536870912,max,408,100,0,0,0,0
2026-06-11T16:33:35-04:00,480,0,536870912,max,379,100,0,0,0,0
2026-06-11T16:33:37-04:00,462,0,536870912,max,370,100,0,0,0,0
2026-06-11T16:33:39-04:00,511,0,536870912,max,408,100,0,0,0,0
2026-06-11T16:33:41-04:00,498,0,536870912,max,395,100,0,0,0,0
2026-06-11T16:33:43-04:00,461,0,536870912,max,358,100,0,0,0,0
2026-06-11T16:33:45-04:00,461,0,536870912,max,375,100,0,0,0,0
2026-06-11T16:33:47-04:00,494,0,536870912,max,395,100,0,0,0,0
2026-06-11T16:33:49-04:00,461,0,536870912,max,388,100,0,0,0,0
2026-06-11T16:33:51-04:00,461,0,536870912,max,358,100,0,0,0,0
2026-06-11T16:33:53-04:00,500,0,536870912,max,399,100,0,0,0,0
2026-06-11T16:33:55-04:00,476,0,536870912,max,358,100,0,0,0,0
2026-06-11T16:33:57-04:00,461,0,536870912,max,358,100,0,0,0,0
2026-06-11T16:33:59-04:00,461,0,536870912,max,358,100,0,0,0,0
2026-06-11T16:34:01-04:00,492,0,536870912,max,389,100,0,0,0,0
2026-06-11T16:34:03-04:00,476,0,536870912,max,377,100,0,0,0,0
2026-06-11T16:34:05-04:00,494,0,536870912,max,391,100,0,0,0,0
2026-06-11T16:34:07-04:00,485,0,536870912,max,383,100,0,0,0,0

=== Result ===
Pod survived 81+ iterations. Page cache reclaimed normally with memory.min=0.
